book_id,ten_sach,tac_gia,the_loai,so_trang,loai_sach,diem_danh_gia,nam_xuat_ban,quoc_gia,gia_sach,price_range,rating_level
48,Những Người Khốn Khổ,Ernest Hemingway,Business,291,Truyện tranh,4.4,2015,USA,309000,High,Good
49,Madame Bovary,Dan Brown,Literature,786,Truyện chữ,4.8,2011,USA,260000,High,Excellent
50,Germinal,Stephen King,Classic,337,Truyện chữ,3.9,2017,USA,282000,High,Average
51,Trăm Năm Cô Đơn,Haruki Murakami,Literature,856,Truyện chữ,4.6,2020,Japan,139000,Medium,Excellent
52,Tình Yêu Thời Thổ Tả,Osamu Dazai,Classic,285,Truyện tranh,4.5,2023,Japan,134000,Medium,Excellent
53,Nhà Giả Kim 2,Jane Austen,Literature,576,Truyện tranh,4.1,2019,UK,175000,Medium,Good
54,Ficciones,Nguyễn Nhật Ánh,Business,775,Truyện chữ,4.6,2019,Vietnam,149000,Medium,Excellent
55,Vườn Nửa Đêm,George Orwell,History,644,Truyện chữ,3.4,2016,UK,104000,Low,Low
56,The Power of Habit,Victor Hugo,Fantasy,214,Truyện chữ,4.4,2010,France,197000,Medium,Good
57,Deep Work,Gustave Flaubert,Self-help,835,Truyện chữ,4.1,2021,France,130000,Medium,Good
58,Essentialism,Ernest Hemingway,Self-help,593,Truyện tranh,4.5,2017,USA,282000,High,Excellent
59,Make Your Bed,Tô Hoài,Business,302,Truyện tranh,4.8,2019,Vietnam,86000,Low,Excellent
60,Can't Hurt Me,George Orwell,Business,808,Truyện chữ,4.1,2017,UK,167000,Medium,Good
61,Dế Mèn Phiêu Lưu Ký,Tô Hoài,Business,226,Truyện chữ,3.8,2015,Vietnam,106000,Low,Average
62,Tắt Đèn,J.K. Rowling,Manga,669,Truyện tranh,3.6,2020,Japan,291000,High,Average
63,Truyện Kiều,Nguyễn Du,Self-help,390,Truyện chữ,4.0,2022,Vietnam,315000,High,Good
64,Lão Hạc,George Orwell,Self-help,240,Truyện chữ,4.0,2011,UK,89000,Low,Good
65,Bỉ Vỏ,Gustave Flaubert,Fantasy,255,Truyện chữ,3.9,2018,France,80000,Low,Average
66,Sách Trắng Tài Chính,Ernest Hemingway,Business,243,Truyện tranh,4.9,2020,USA,347000,High,Excellent
67,Đầu Tư Chứng Khoán,Stephen King,Fantasy,725,Truyện chữ,4.4,2017,USA,270000,High,Good
68,Bitcoin & Blockchain,Gustave Flaubert,Fantasy,205,Truyện chữ,4.7,2015,France,328000,High,Excellent
69,Tự Do Tài Chính,Nguyễn Nhật Ánh,History,883,Truyện tranh,3.9,2017,Vietnam,131000,Medium,Average
70,Quản Lý Dòng Tiền,Dan Brown,Fantasy,824,Truyện chữ,3.2,2015,USA,276000,High,Low
71,Attack on Titan,George Orwell,Literature,868,Truyện chữ,3.3,2012,UK,154000,Medium,Low
72,Demon Slayer,Stephen King,Classic,884,Truyện tranh,4.5,2011,USA,183000,Medium,Excellent
73,My Hero Academia,Osamu Dazai,Fantasy,342,Truyện chữ,4.9,2016,Japan,320000,High,Excellent
74,Jujutsu Kaisen,George Orwell,Business,345,Truyện tranh,3.8,2022,UK,104000,Low,Average
75,Fullmetal Alchemist,J.K. Rowling,History,798,Truyện tranh,4.3,2022,UK,320000,High,Good
76,Bố Già,J.K. Rowling,Romance,824,Truyện tranh,4.9,2012,UK,82000,Low,Excellent
77,Mật Mã Da Vinci,George Orwell,Self-help,693,Truyện tranh,3.3,2024,UK,333000,High,Low
78,Thiên Thần Và Ác Quỷ,Haruki Murakami,History,670,Truyện chữ,4.4,2012,Japan,134000,Medium,Good
79,Điểm Hẹn,Ernest Hemingway,Literature,546,Truyện tranh,4.3,2024,USA,344000,High,Good
80,Trại Hoa Vàng,Natsume Soseki,Manga,543,Truyện tranh,4.0,2019,Japan,223000,Medium,Good
81,The Lean Startup,Osamu Dazai,Literature,557,Truyện chữ,4.9,2017,Japan,152000,Medium,Excellent
82,Sprint,Victor Hugo,Psychology,572,Truyện tranh,4.5,2021,France,237000,Medium,Excellent
83,Hooked,Victor Hugo,Literature,868,Truyện tranh,4.7,2021,France,194000,Medium,Excellent
84,Inspired,Mark Twain,Fantasy,355,Truyện chữ,4.3,2014,USA,150000,Medium,Good
85,Continuous Discovery,Gustave Flaubert,Business,877,Truyện tranh,5.0,2012,France,249000,Medium,Excellent
86,Người Đua Diều,Gustave Flaubert,Manga,877,Truyện tranh,3.4,2015,Japan,332000,High,Low
87,Ngàn Mặt Trời Rực Rỡ,George Orwell,Self-help,746,Truyện tranh,4.9,2021,UK,230000,Medium,Excellent
88,Và Núi Vang Vọng,J.K. Rowling,Self-help,582,Truyện chữ,4.1,2010,UK,156000,Medium,Good
89,Biển Rộng,Osamu Dazai,Self-help,204,Truyện tranh,3.3,2014,Japan,230000,Medium,Low
90,Bầu Trời,Mark Twain,Self-help,849,Truyện chữ,3.5,2010,USA,187000,Medium,Average
91,Thinking in Systems,Nam Cao,Self-help,704,Truyện chữ,3.8,2017,Vietnam,198000,Medium,Average
92,The Goal,Stephen King,Business,812,Truyện tranh,3.9,2018,USA,105000,Low,Average
93,Toyota Way,Stephen King,Manga,540,Truyện tranh,3.9,2022,Japan,108000,Low,Average
94,Measure What Matters,Agatha Christie,Fantasy,163,Truyện tranh,3.7,2019,UK,198000,Medium,Average
95,Radical Candor,Alexandre Dumas,History,798,Truyện tranh,4.5,2015,France,183000,Medium,Excellent
96,Cô Gái Thứ 13,Tô Hoài,Literature,892,Truyện chữ,3.7,2012,Vietnam,178000,Medium,Average
97,Mắt Biếc,Nam Cao,Business,327,Truyện tranh,4.1,2016,Vietnam,305000,High,Good
98,Tôi Thấy Hoa Vàng,Gustave Flaubert,Self-help,435,Truyện tranh,3.7,2012,France,214000,Medium,Average
99,Bức Thư Gửi Em,Natsume Soseki,Manga,155,Truyện tranh,3.8,2021,Japan,101000,Low,Average
100,Cô Đơn Trên Đại Dương,Victor Hugo,Self-help,307,Truyện chữ,4.3,2022,France,238000,Medium,Good
